Year of arrival at port of disembarkation,Total embarked,Total disembarked
1806,97,85
1806,100,88
1805,149,126
1805,159,133
1805,59,50
1805,215,180
1805,174,131
1805,12,10
1805,40,34
1805,108,92
1805,71,59
1805,48,40
1805,139,116
1805,227,171
1805,70,58
1805,153,128
1805,153,128
1805,126,110
1805,300,157
1805,75,66
1805,,
1805,298,224
1805,55,48
1806,110,96
1806,103,90
1806,153,128
1806,295,222
1806,149,126
1806,77,67
1806,125,109
1806,332,250
1806,101,84
1806,137,120
1806,123,108
1806,81,67
1806,66,58
1806,49,43
1806,87,74
1806,126,120
1806,267,201
1806,240,200
1807,240,
1806,83,69
1806,263,198
1806,149,126
1806,149,126
1806,273,205
1807,91,80
1807,102,89
1806,72,68
1807,153,128
1807,59,44
1807,80,68
1807,250,237
1761,96,75
1807,114,100
1807,509,383
1807,153,128
1807,245,125
1807,612,460
1807,320,284
1807,465,350
1807,239,200
1807,114,100
1807,343,258
1807,86,75
1807,499,475
1807,109,95
1807,118,89
1807,152,133
1807,106,80
1808,165,140
1807,143,125
1807,187,156
1785,133,117
1793,108,
1806,267,201
1806,59,56
1807,328,247
1807,185,162
1807,299,250
1807,332,250
1807,290,218
1807,,
1808,149,126
1807,101,88
1807,368,277
1808,153,128
1808,238,179
1807,153,128
1807,268,
1807,114,100
1807,149,126
1807,106,93
1807,68,62
1807,149,126
1807,111,97
1807,106,80
1806,160,140
1806,83,69
1806,126,105
1806,267,201
1806,101,88
1806,121,91
1806,300,196
1806,146,124
1806,208,167
1807,87,76
1807,153,128
1807,149,126
1807,242,202
1807,220,214
1807,300,300
1807,439,330
1807,167,140
1807,163,136
1807,56,49
1807,267,201
1807,149,126
1805,65,57
1807,209,175
1806,293,253
1786,107,99
1794,94,77
1795,149,126
1794,119,101
1795,149,126
1796,289,236
1797,45,37
1796,149,126
1797,149,126
1807,130,130
1803,400,344
1807,149,126
1807,112,98
1807,267,201
1807,149,126
1807,120,100
1807,149,126
1807,101,88
1807,153,128
1808,159,130
1807,83,69
1807,267,201
1807,149,126
1807,101,88
1807,267,201
1807,299,250
1807,101,88
1807,224,187
1807,153,128
1807,267,201
1807,83,69
1807,101,88
1807,101,88
1807,267,201
1807,300,300
1792,250,220
1807,101,88
1803,320,190
1798,95,91
1802,149,126
1803,,
1802,149,126
1803,153,128
1804,267,201
1804,149,126
1796,78,64
1787,149,126
1804,149,126
1804,149,126
1804,153,128
1804,98,86
1805,149,126
1806,153,128
1787,149,126
1787,149,126
1787,94,77
1789,149,126
1790,149,126
1790,,
1790,151,126
1790,130,106
1791,144,126
1791,149,126
1792,149,126
1792,149,126
1792,149,126
1792,149,126
1793,149,126
1793,149,126
1797,269,237
1794,75,62
1796,74,61
1796,375,330
1797,96,85
1797,149,126
1800,149,126
1797,149,126
1753,150,135
1732,149,126
1734,110,101
1735,52,46
1730,245,212
1733,149,
1738,100,88
1738,200,166
1737,172,153
1739,569,520
1713,395,300
1718,367,313
1737,200,166
1718,169,150
1758,149,126
1736,250,
1753,250,
1768,169,150
1768,276,209
1703,386,351
1698,149,126
1698,149,126
1679,337,233
1679,337,233
1733,169,150
1686,304,210
1699,303,210
1679,149,126
1671,304,210
1783,174,150
1791,118,100
1792,69,59
1793,281,86
1794,145,123
1794,45,38
1791,45,38
1792,149,126
1791,114,97
1792,47,40
1793,167,142
1793,200,100
1790,75,64
1715,156,135
1715,169,150
1720,170,150
1721,273,236
1721,273,236
1709,526,440
1708,312,250
1708,187,150
1709,315,240
1709,213,200
1707,,
1708,,
1707,,
1708,237,190
1708,237,190
1708,237,190
1708,237,190
1708,295,236
1695,400,305
1692,50,
1661,35,27
1678,399,376
1679,122,93
1679,202,140
1679,75,60
1679,100,80
1680,237,185
1709,157,136
1709,163,159
1710,129,115
1710,151,121
1712,231,200
1713,85,68
1713,145,137
1713,121,107
1713,147,122
1713,392,348
1713,87,77
1713,622,530
1713,333,270
1713,339,293
1713,262,210
1680,94,75
1680,243,195
1680,100,80
1680,243,195
1680,243,195
1680,55,44
1681,237,190
1681,288,200
1681,282,220
1681,62,50
1681,139,111
1708,,
1709,,
1710,127,113
1713,110,95
1713,157,130
1714,179,160
1714,200,184
1714,181,164
1713,289,250
1713,150,124
1706,160,158
1705,106,
1706,93,82
1706,277,245
1706,,
1706,172,152
1706,,
1706,221,200
1706,294,260
1707,568,480
1707,231,204
1707,310,274
1707,94,92
1707,202,165
1674,251,174
1675,408,319
1674,316,247
1674,316,247
1697,179,158
1708,237,
1674,330,264
1674,316,247
1674,179,158
1675,251,174
1675,316,247
1675,316,247
1676,299,239
1676,256,178
1707,,
1707,,
1709,163,145
1709,,
1709,,
1710,273,236
1711,220,190
1713,355,300
1713,367,
1706,273,236
1706,317,280
1706,532,460
1706,489,423
1706,294,260
1706,297,262
1706,339,310
1706,,
1706,335,280
1706,160,141
1706,273,236
1706,184,140
1707,328,299
1707,193,160
1707,300,240
1707,189,173
1707,215,190
1707,275,209
1708,602,550
1708,121,108
1711,144,109
1710,121,92
1713,172,149
1713,112,100
1713,281,240
1678,179,158
1679,70,55
1680,243,195
1680,251,174
1680,251,174
1681,243,195
1681,243,195
1682,243,195
1682,243,195
1682,404,307
1682,179,158
1682,243,195
1682,243,195
1682,243,195
1682,243,195
1683,243,195
1683,243,195
1683,118,116
1683,154,120
1683,304,210
1683,304,210
1683,243,195
1683,243,195
1683,381,331
1683,243,195
1683,243,195
1683,243,195
1683,243,195
1679,75,60
1680,243,195
1681,237,190
1681,243,195
1681,243,195
1681,243,195
1681,243,195
1682,437,350
1683,362,275
1683,187,150
1679,87,70
1679,375,300
1681,243,195
1681,243,195
1681,243,195
1681,243,195
1682,243,195
1682,243,195
1682,243,195
1682,243,195
1682,243,195
1682,243,195
1682,243,195
1684,316,247
1685,190,132
1685,,
1686,270,
1686,120,43
1685,100,
1688,80,62
1706,184,163
1687,200,175
1662,217,195
1663,251,174
1688,,
1690,404,307
1685,190,
1686,179,158
1686,150,97
1685,179,
1687,250,221
1695,100,78
1695,317,247
1697,317,247
1697,317,247
1697,317,247
1683,317,247
1683,243,195
1684,275,216
1684,243,195
1684,243,195
1685,243,195
1685,243,195
1685,316,247
1685,304,210
1685,317,247
1685,146,114
1685,,
1685,,
1686,243,195
1686,243,195
1687,243,195
1687,265,184
1687,102,90
1687,251,174
1687,76,
1691,118,104
1691,243,195
1692,300,250
1692,,
1692,237,190
1694,92,80
1693,374,200
1694,154,120
1693,168,131
1683,243,195
1683,75,60
1683,243,195
1683,243,195
1684,424,340
1684,243,195
1685,243,195
1685,243,195
1685,243,195
1685,255,200
1685,243,195
1686,35,30
1686,30,21
1687,524,477
1691,91,80
1692,243,195
1692,243,195
1692,346,240
1692,461,400
1692,499,400
1693,243,195
1694,243,195
1694,243,195
1695,700,700
1686,191,153
1686,100,80
1688,243,195
1688,303,210
1688,243,195
1699,430,130
1683,243,195
1683,243,195
1685,243,195
1685,243,195
1685,243,195
1688,243,195
1688,243,195
1690,304,210
1694,243,195
1696,108,92
1697,243,195
1697,250,200
1698,243,195
1695,427,296
1696,243,195
1695,316,241
1696,251,174
1696,102,90
1696,263,200
1697,317,247
1697,317,247
1697,251,174
1697,179,158
1687,149,126
1686,149,126
1696,599,480
1696,243,195
1696,243,195
1703,127,105
1703,301,260
1703,159,140
1703,352,311
1703,316,241
1703,161,161
1703,247,200
1704,236,180
1704,,560
1704,200,173
1704,200,173
1704,300,288
1704,126,109
1680,243,195
1680,404,307
1680,150,120
1704,,
1704,,
1704,200,162
1704,450,370
1705,300,259
1704,262,231
1704,305,280
1704,300,256
1704,264,200
1704,303,230
1704,100,81
1704,124,110
1704,,
1705,163,144
1705,197,174
1705,97,87
1705,140,80
1705,136,120
1705,300,240
1705,524,420
1705,185,148
1705,80,53
1705,239,214
1705,273,236
1705,272,220
1705,222,180
1706,,
1678,243,195
1678,243,195
1679,137,110
1682,,
1682,243,195
1682,160,111
1683,243,195
1683,62,48
1683,87,70
1684,179,158
1692,400,305
1661,209,180
1662,145,109
1662,330,264
1662,330,264
1663,164,128
1668,564,452
1676,350,301
1675,115,80
1675,112,90
1677,317,247
1677,317,247
1677,243,195
1677,243,195
1665,251,174
1666,235,188
1666,235,188
1666,235,188
1667,212,170
1698,243,195
1700,286,229
1701,71,60
1701,192,154
1701,75,57
1704,302,229
1701,230,184
1701,327,262
1702,179,143
1704,327,262
1705,361,292
1705,136,109
1705,112,90
1706,150,120
1706,370,315
1706,375,300
1708,370,296
1713,200,113
1696,243,195
1664,,
1665,131,91
1665,,
1665,300,208
1681,253,178
1664,223,155
1678,125,87
1679,147,102
1681,251,174
1683,251,174
1682,404,307
1686,251,174
1687,251,174
1690,251,174
1700,404,
1700,,
1702,67,60
1703,109,97
1687,173,130
1702,238,181
1710,316,241
1691,243,195
1691,243,195
1701,250,200
1698,294,250
1698,437,350
1698,250,200
1699,119,106
1699,499,400
1699,164,131
1699,181,145
1699,125,100
1699,237,190
1699,499,400
1699,402,322
1699,346,277
1699,499,400
1699,107,95
1699,500,180
1699,412,330
1699,196,174
1700,160,128
1700,160,128
1700,237,190
1700,431,299
1700,274,190
1700,141,113
1700,175,140
1700,562,450
1700,132,118
1700,65,52
1700,474,380
1700,162,130
1700,318,270
1700,122,108
1700,208,167
1700,294,230
1700,162,130
1700,458,252
1700,91,73
1700,79,63
1701,85,72
1701,562,450
1701,176,141
1701,167,134
1701,115,105
1701,157,126
1701,146,117
1701,337,270
1701,211,169
1701,64,57
1701,499,400
1701,274,250
1701,154,123
1701,96,77
1701,395,316
1701,416,333
1701,499,400
1701,255,204
1701,287,230
1701,109,87
1701,86,69
1701,49,39
1701,275,220
1701,74,59
1701,300,240
1701,467,374
1701,122,98
1701,142,114
1702,275,230
1702,145,116
1702,175,140
1702,115,92
1702,139,120
1702,106,85
1702,125,100
1702,600,486
1702,112,90
1702,156,125
1703,202,169
1702,244,204
1702,83,69
1702,227,190
1702,383,320
1703,322,269
1703,299,250
1703,179,150
1704,239,200
1704,199,166
1704,220,184
1704,538,450
1705,167,140
1705,275,230
1705,249,220
1705,156,130
1705,234,196
1705,239,200
1705,215,180
1705,362,290
1707,159,133
1707,348,291
1703,172,152
1703,136,114
1712,301,257
1713,237,190
1707,237,190
1705,160,142
1678,246,197
1678,300,234
1678,243,195
1680,150,120
1665,341,237
1666,605,485
1664,245,170
1701,196,174
1699,50,39
1708,187,150
1685,240,166
1687,260,180
1681,427,295
1683,154,123
1709,120,96
1697,388,357
1711,,
1711,110,95
1695,188,160
1696,218,175
1698,494,396
1699,482,102
1699,237,190
1700,400,320
1701,80,64
1702,61,49
1702,200,152
1702,164,136
1705,148,131
1705,187,150
1705,112,90
1708,89,79
1708,149,119
1693,243,195
1700,251,174
1708,,
1701,200,180
1699,243,195
1697,145,102
1664,287,230
1674,100,85
1674,330,264
1699,49,49
1702,237,190
1703,273,236
1696,55,47
1711,281,240
1738,97,78
1711,92,74
1662,179,158
1712,487,416
1662,125,100
1697,587,470
1697,155,124
1697,167,134
1664,200,138
1664,135,93
1676,61,42
1676,304,210
1681,122,
1677,122,98
1676,346,300
1658,145,109
1658,145,109
1659,145,109
1682,135,
1683,27,22
1682,326,261
1670,563,443
1670,434,334
1672,459,350
1672,275,210
1652,,
1652,,
1659,385,331
1659,195,85
1659,557,300
1661,225,180
1661,82,71
1658,1601,1200
1662,,
1661,145,109
1661,316,247
1661,,
1661,,
1661,100,
1665,174,150
1668,330,264
1644,313,251
1645,32,26
1671,386,295
1679,380,366
1679,290,245
1703,,
1669,251,174
1670,251,174
1667,375,300
1667,291,233
1667,291,233
1667,291,233
1695,394,307
1737,260,237
1741,304,257
1701,103,91
1701,103,91
1713,606,490
1713,113,100
1713,117,103
1714,131,120
1714,274,250
1684,319,249
1721,272,228
1727,322,273
1701,124,105
1675,151,126
1675,151,126
1701,272,228
1694,108,86
1736,250,230
1696,,
1723,153,134
1690,319,249
1643,77,62
1731,230,191
1724,449,375
1717,419,350
1714,167,140
1715,227,190
1715,179,150
1715,323,270
1740,322,273
1715,269,225
1715,159,133
1716,407,340
1716,111,93
1716,95,79
1716,358,299
1717,562,470
1717,150,125
1740,154,136
1717,239,200
1717,116,97
1718,562,470
1718,44,37
1721,316,264
1722,285,238
1722,341,285
1722,179,150
1722,96,80
1723,340,284
1723,317,265
1723,187,156
1724,315,263
1724,233,195
1724,168,139
1724,407,340
1724,240,201
1724,260,217
1725,292,244
1725,242,202
1725,281,235
1725,217,181
1725,272,228
1725,144,120
1726,236,200
1726,284,240
1726,261,221
1726,246,208
1727,228,193
1727,235,199
1730,145,123
1730,224,190
1730,363,307
1730,236,200
1730,201,170
1730,145,123
1731,54,46
1731,139,118
1733,52,44
1733,240,203
1734,189,160
1743,27,23
1738,135,114
1715,169,150
1716,10,9
1716,159,140
1719,132,106
1722,62,50
1717,190,190
1716,169,
1682,404,307
1683,404,307
1698,452,344
1698,220,167
1698,350,267
1682,316,241
1682,316,241
1682,316,241
1697,350,
1660,330,264
1641,299,239
1647,100,86
1655,320,244
1648,350,300
1695,244,209
1699,243,195
1699,149,126
1718,141,117
1729,250,200
1756,109,90
1692,133,121
1721,192,133
1762,138,118
1686,250,200
1687,400,320
1687,100,80
1688,375,300
1688,243,195
1690,596,477
1691,261,209
1691,339,299
1691,373,299
1692,568,455
1692,373,299
1692,624,500
1692,687,550
1692,624,500
1693,687,550
1693,208,167
1693,386,309
1693,562,450
1693,391,335
1693,734,588
1693,747,598
1693,233,200
1693,250,200
1694,562,450
1694,152,122
1694,225,180
1695,648,520
1696,613,491
1699,773,619
1699,576,461
1699,414,350
1701,526,421
1702,251,212
1702,200,169
1703,258,207
1715,247,212
1693,738,729
1694,729,705
1694,484,452
1699,494,400
1683,334,254
1688,105,80
1644,284,245
1645,100,80
1647,392,320
1646,251,174
1645,251,174
1645,244,209
1645,72,
1645,211,188
1645,211,188
1645,244,
1645,211,188
1645,392,320
1646,211,188
1646,251,174
1646,251,174
1646,244,209
1646,251,174
1647,211,188
1646,211,188
1646,244,209
1644,244,209
1646,211,188
1646,260,212
1646,251,174
1646,244,209
1646,211,188
1647,251,174
1647,244,209
1647,251,174
1644,330,264
1656,54,47
1656,163,140
1656,251,174
1702,185,141
1702,197,150
1702,393,300
1647,191,164
1647,251,174
1716,272,228
1723,121,118
1748,56,45
1718,492,412
1792,43,37
1700,381,331
1700,381,331
1762,95,75
1750,320,284
1756,230,197
1756,230,197
1757,82,70
1757,90,86
1757,75,68
1757,140,128
1759,230,200
1759,72,56
1759,200,190
1777,200,184
1755,135,112
1754,156,138
1754,98,77
1755,75,66
1755,299,260
1762,260,182
1753,180,160
1754,110,98
1752,117,100
1756,230,197
1755,135,120
1753,192,170
1754,125,114
1756,54,49
1759,248,212
1760,266,228
1760,229,196
1761,225,200
1761,,
1763,225,200
1764,225,200
1765,222,200
1765,221,180
1765,282,250
1767,63,54
1766,116,90
1767,65,51
1728,196,174
1754,250,208
1755,124,110
1755,211,180
1756,250,210
1756,140,110
1711,237,190
1710,237,190
1709,237,190
1710,104,93
1710,237,190
1711,476,398
1710,237,190
1711,237,190
1711,237,190
1711,169,150
1711,237,190
1711,237,190
1712,237,190
1712,237,190
1712,237,190
1712,237,190
1708,237,190
1708,237,190
1706,237,190
1707,148,131
1709,237,190
1709,237,190
1710,276,209
1711,272,
1704,148,131
1704,,
1703,148,131
1704,148,131
1704,237,190
1705,237,190
1706,237,190
1705,237,190
1705,237,190
1705,237,190
1706,237,190
1706,237,190
1706,237,190
1706,237,190
1706,237,190
1708,237,190
1706,,
1703,185,155
1702,237,190
1702,237,190
1702,237,190
1703,237,190
1700,243,195
1702,237,190
1701,237,190
1701,237,190
1701,237,190
1702,237,190
1703,237,190
1703,237,190
1702,237,190
1703,148,131
1702,121,108
1702,237,190
1704,237,190
1704,187,150
1704,175,140
1704,237,190
1704,237,190
1704,517,404
1701,237,190
1701,237,190
1700,148,131
1701,121,108
1701,237,190
1702,237,190
1701,237,190
1701,121,108
1700,243,195
1701,237,190
1702,237,190
1702,237,190
1702,237,190
1702,237,190
1701,237,190
1701,237,190
1703,228,208
1701,237,190
1702,237,190
1701,237,190
1701,148,131
1702,272,228
1700,243,195
1701,237,190
1700,243,195
1701,169,135
1700,243,195
1701,237,190
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,148,131
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1700,243,195
1699,243,195
1699,246,197
1699,243,195
1699,121,108
1700,243,195
1699,243,195
1699,243,195
1700,243,195
1699,243,195
1699,243,195
1698,260,207
1698,286,229
1733,271,217
1699,256,200
1679,337,233
1700,243,195
1687,29,22
1687,185,128
1754,250,208
1754,250,209
1754,250,209
1729,146,120
1759,400,360
1717,90,
1770,169,150
1704,237,190
1704,293,235
1705,167,138
1740,275,209
1750,250,208
1750,271,217
1749,271,217
1711,610,557
1719,121,108
1730,121,108
1722,30,24
1736,240,197
1741,271,217
1742,271,217
1757,160,133
1743,271,217
1717,252,211
1717,225,190
1719,,
1717,237,190
1718,237,190
1819,304,303
1819,328,320
1819,380,375
1819,200,193
1819,261,250
1819,392,387
1819,598,560
1819,392,387
1819,407,394
1819,563,543
1819,396,376
1819,308,305
1819,450,442
1819,532,487
1819,583,535
1819,570,543
1819,428,372
1819,345,338
1815,449,407
1815,444,407
1815,455,406
1815,448,406
1815,448,406
1815,448,406
1815,448,406
1815,457,454
1815,551,505
1815,552,505
1815,566,505
1815,557,505
1815,551,505
1815,556,504
1815,550,504
1815,565,504
1815,556,504
1815,556,504
1815,550,504
1815,514,504
1815,556,504
1815,688,649
1815,541,495
1815,427,294
1815,551,495
1815,555,495
1815,540,495
1815,476,431
1815,333,302
1815,687,613
1815,492,439
1815,483,438
1811,520,503
1811,162,152
1811,192,178
1811,426,412
1811,242,228
1811,209,204
1811,437,410
1811,365,363
1811,197,158
1811,265,204
1811,164,160
1811,357,347
1811,439,428
1811,341,340
1811,347,345
1811,169,168
1812,143,143
1812,419,383
